PHAS2901,PHAS2201,PHAS2246,PHAS2440,PHAS2228,PHAS2441,PHAS2224,MATH6202,PHAS2222,PHAS2112,PHAS2130,PHAS2117,PHAS2443,PHAS2423,08GL064U,COMP210P,PHAS2427,0,MPHY2001
PHAS2901,PHAS2201,PHAS2246,PHAS2440,PHAS2228,PHAS2441,PHAS2224,MATH6202,PHAS2222,PHAS2112,PHAS2130,PHAS2117,PHAS2443,PHAS2423,08GL064U,COMP210P,PHAS2427,0,MPHY2001
59,49,45,42,30,29,26,18,0,40,40,28,86,46,56,64,80,0,79
59,47,46,72,51,72,56,41,51,79,74,45,86,97,65,64,55,0,
69,64,91,77,83,70,76,70,74,93,82,77,69,21,58,62,65,,
80,69,82,67,67,68,88,68,87,73,78,60,68,69,71,67,43,,
83,41,59,59,41,59,78,97,53,40,72,46,66,71,71,66,74,,
68,75,96,79,91,89,49,61,96,61,58,52,5,0,68,77,87,,
80,56,67,66,56,72,37,41,78,82,85,56,99,97,55,60,67,,
78,56,78,59,0,79,80,87,79,0,67,79,50,63,,63,40,,
69,51,64,59,49,69,71,36,67,0,80,64,59,40,,65,43,,
77,79,96,66,91,67,46,89,91,51,78,20,36,0,,,66,,
84,51,81,58,71,70,32,61,61,0,45,56,90,22,,,74,,
68,46,60,72,57,60,56,54,53,79,79,48,9,82,,,80,,
75,65,89,42,95,53,43,57,83,86,87,53,77,50,,,56,,
74,62,49,54,43,63,10,56,48,58,76,0,90,90,,,54,,
81,61,47,59,20,62,37,70,44,80,75,60,69,95,,,77,,
61,44,66,71,47,72,62,0,46,40,69,66,85,73,,,90,,
58,63,47,63,41,56,67,67,48,0,75,52,60,98,,,40,,
58,56,71,63,43,76,52,62,58,50,71,44,81,23,,,87,,
73,23,8,63,15,70,0,69,22,72,80,40,32,80,,,81,,
66,40,43,73,55,71,75,40,38,77,50,64,52,63,,,61,,
64,65,84,67,40,73,56,77,67,41,40,60,49,78,,,72,,
73,71,65,58,60,67,40,47,75,0,62,56,72,60,,,82,,
69,45,47,42,51,30,73,47,46,,,69,84,42,,,72,,
41,0,0,61,0,57,57,37,0,,,39,60,75,,,73,,
64,72,86,57,71,63,82,39,86,,,43,85,58,,,70,,
73,66,64,71,40,76,0,62,57,,,33,91,80,,,95,,
67,47,70,55,55,62,47,31,75,,,0,73,95,,,45,,
77,50,53,59,51,57,46,62,50,,,,85,86,,,68,,
67,59,74,58,60,75,34,0,75,,,,60,69,,,92,,
78,64,69,58,70,60,76,0,75,,,,,0,,,0,,
72,64,80,63,83,74,14,97,89,,,,,,,,63,,
68,59,86,54,80,77,61,56,81,,,,,,,,,,
74,27,37,68,12,77,42,65,29,,,,,,,,,,
15,48,0,71,0,72,64,76,55,,,,,,,,,,
69,60,56,80,36,71,68,77,49,,,,,,,,,,
70,65,69,69,66,67,0,75,68,,,,,,,,,,
75,37,48,50,40,48,88,29,48,,,,,,,,,,
75,59,93,68,83,76,53,53,84,,,,,,,,,,
38,48,58,72,21,73,75,75,25,,,,,,,,,,
56,55,68,57,68,55,84,45,69,,,,,,,,,,
79,64,0,63,0,39,78,57,58,,,,,,,,,,
78,45,52,55,44,66,0,29,52,,,,,,,,,,
74,64,0,63,63,65,58,20,59,,,,,,,,,,
71,55,66,58,57,55,53,31,49,,,,,,,,,,
59,0,0,45,22,40,40,53,0,,,,,,,,,,
85,83,97,59,98,68,46,64,94,,,,,,,,,,
66,68,74,56,46,50,74,85,67,,,,,,,,,,
66,43,67,59,59,58,44,0,64,,,,,,,,,,
77,73,89,41,87,33,57,27,92,,,,,,,,,,
84,83,93,65,91,62,34,30,86,,,,,,,,,,
51,48,81,62,0,62,49,67,59,,,,,,,,,,
70,43,62,70,56,48,76,60,54,,,,,,,,,,
63,41,58,70,52,77,37,0,51,,,,,,,,,,
70,59,62,78,73,66,36,74,58,,,,,,,,,,
68,43,60,75,33,44,59,91,42,,,,,,,,,,
77,51,73,76,69,71,54,41,74,,,,,,,,,,
65,45,56,77,50,75,52,73,57,,,,,,,,,,
79,43,66,50,77,57,0,35,68,,,,,,,,,,
60,18,48,55,43,47,44,71,23,,,,,,,,,,
66,60,71,54,45,71,73,80,64,,,,,,,,,,
68,53,63,70,43,66,74,100,51,,,,,,,,,,
82,63,63,64,52,66,36,58,63,,,,,,,,,,
31,32,36,48,40,8,14,4,48,,,,,,,,,,
61,49,41,69,25,62,56,68,26,,,,,,,,,,
66,68,36,64,30,47,79,71,42,,,,,,,,,,
61,48,67,78,54,77,56,79,51,,,,,,,,,,
49,46,61,61,48,59,0,90,58,,,,,,,,,,
65,79,75,69,41,64,77,41,66,,,,,,,,,,
0,0,0,66,0,65,71,0,0,,,,,,,,,,
69,40,42,58,30,71,80,59,47,,,,,,,,,,
74,52,74,61,54,65,36,65,71,,,,,,,,,,
68,55,80,72,74,70,0,53,81,,,,,,,,,,
60,35,63,63,16,88,62,73,37,,,,,,,,,,
0,23,62,64,18,73,55,35,26,,,,,,,,,,
72,47,53,57,68,55,66,49,47,,,,,,,,,,
65,73,78,59,58,57,89,81,72,,,,,,,,,,
80,54,67,69,34,61,51,85,60,,,,,,,,,,
71,0,0,59,0,70,0,47,0,,,,,,,,,,
69,68,78,66,80,71,61,76,76,,,,,,,,,,
66,70,80,59,83,74,71,55,78,,,,,,,,,,
83,68,73,53,49,60,50,0,77,,,,,,,,,,
52,67,72,62,48,64,68,89,57,,,,,,,,,,
58,73,69,70,70,54,54,67,72,,,,,,,,,,
68,0,52,84,0,74,83,36,38,,,,,,,,,,
78,68,76,74,83,68,37,47,85,,,,,,,,,,
64,59,74,60,63,67,73,68,67,,,,,,,,,,
71,0,57,58,0,61,73,90,50,,,,,,,,,,
61,69,89,52,74,77,58,79,86,,,,,,,,,,
79,92,95,62,90,74,0,56,94,,,,,,,,,,
68,62,71,58,41,64,71,52,68,,,,,,,,,,
81,51,63,69,68,68,75,74,67,,,,,,,,,,
63,19,64,68,57,68,81,66,61,,,,,,,,,,
43,0,0,70,0,71,70,0,7,,,,,,,,,,
53,68,64,70,48,72,24,78,56,,,,,,,,,,
74,59,65,71,78,69,42,70,82,,,,,,,,,,
73,47,64,54,50,43,42,71,62,,,,,,,,,,
59,67,79,72,87,78,52,92,64,,,,,,,,,,
72,0,31,57,0,67,64,56,34,,,,,,,,,,
54,47,66,60,63,58,48,100,60,,,,,,,,,,
76,83,88,55,96,52,53,91,90,,,,,,,,,,
75,44,53,64,43,61,75,83,51,,,,,,,,,,
78,45,65,76,0,77,47,71,61,,,,,,,,,,
72,60,65,72,66,72,93,86,62,,,,,,,,,,
80,40,41,80,42,84,0,47,44,,,,,,,,,,
81,54,74,60,84,55,51,40,78,,,,,,,,,,
74,64,65,64,60,65,46,49,74,,,,,,,,,,
72,43,54,70,34,50,0,11,52,,,,,,,,,,
67,60,69,63,81,46,44,,64,,,,,,,,,,
78,85,88,0,87,0,78,,85,,,,,,,,,,
76,67,75,,79,,41,,79,,,,,,,,,,
72,75,68,,74,,41,,69,,,,,,,,,,
68,27,49,,33,,61,,26,,,,,,,,,,
67,38,59,,45,,62,,59,,,,,,,,,,
71,50,47,,36,,86,,47,,,,,,,,,,
71,63,67,,67,,67,,79,,,,,,,,,,
72,58,76,,68,,61,,79,,,,,,,,,,
58,57,80,,61,,30,,72,,,,,,,,,,
59,40,56,,43,,51,,47,,,,,,,,,,
68,58,75,,66,,68,,50,,,,,,,,,,
68,59,72,,59,,51,,77,,,,,,,,,,
80,29,55,,50,,56,,42,,,,,,,,,,
84,85,93,,97,,0,,95,,,,,,,,,,
59,63,82,,0,,54,,77,,,,,,,,,,
66,71,68,,75,,68,,71,,,,,,,,,,
76,29,60,,46,,58,,51,,,,,,,,,,
40,0,25,,0,,89,,0,,,,,,,,,,
71,43,44,,55,,43,,40,,,,,,,,,,
63,62,70,,69,,91,,58,,,,,,,,,,
66,44,73,,50,,76,,59,,,,,,,,,,
71,46,43,,35,,77,,47,,,,,,,,,,
73,41,51,,56,,76,,53,,,,,,,,,,
49,78,79,,50,,54,,68,,,,,,,,,,
67,62,90,,74,,63,,91,,,,,,,,,,
65,64,81,,86,,0,,76,,,,,,,,,,
68,59,64,,68,,40,,71,,,,,,,,,,
72,35,40,,40,,25,,33,,,,,,,,,,
77,52,58,,64,,0,,63,,,,,,,,,,
65,57,65,,61,,60,,51,,,,,,,,,,
68,49,55,,57,,0,,72,,,,,,,,,,
77,43,77,,53,,,,62,,,,,,,,,,
66,0,50,,0,,,,0,,,,,,,,,,
72,38,49,,52,,,,52,,,,,,,,,,
66,47,23,,0,,,,31,,,,,,,,,,
58,72,73,,51,,,,56,,,,,,,,,,
85,67,83,,75,,,,73,,,,,,,,,,
75,43,56,,73,,,,58,,,,,,,,,,
80,77,90,,89,,,,74,,,,,,,,,,
61,57,76,,60,,,,65,,,,,,,,,,
73,78,95,,99,,,,94,,,,,,,,,,
73,84,89,,77,,,,83,,,,,,,,,,
70,73,87,,80,,,,76,,,,,,,,,,
70,72,79,,74,,,,82,,,,,,,,,,
73,77,64,,61,,,,67,,,,,,,,,,
71,81,80,,68,,,,84,,,,,,,,,,
68,0,0,,0,,,,0,,,,,,,,,,
74,36,58,,64,,,,47,,,,,,,,,,
66,58,47,,42,,,,53,,,,,,,,,,
52,57,76,,64,,,,71,,,,,,,,,,
73,31,53,,0,,,,57,,,,,,,,,,
0,0,0,,0,,,,0,,,,,,,,,,
61,0,0,,0,,,,0,,,,,,,,,,
